16/08/2026                                                                                          Página 1



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
-------------------  -------- --------  ---- ------  ---------- --------  ------------------------------------------------------------
HG1/03/Abba                   1192723   BH   BH.G    502232021  1754951   Diccionario de filosofía /                                  
HG1/03/Abba                   90170     BH   BH.G    500090171  90171     Diccionario de filosofía /                                  
HG1/03/Audi                   875460    BH   BH.G    500875462  875462    The Cambridge dictionary of Philosophy /                    
HG1/03/Bald                   91351     BH   BH.G    500091353  91353     Dictionary of philosophy and psychology /                   
HG1/03/Bald                   91368     BH   BH.G    500091371  91371     Dictionary of philosophy and psychology /                   
HG1/03/Bald                   91374     BH   BH.G    500091378  91378     Dictionary of philosophy and psychology /                   
HG1/03/Bald                   91472     BH   BH.G    500091476  91476     Dictionary of philosophy and psychology /                   
HG1/03/Biog                   818451    BH   BH.G    100818470  818470    Biographical dictionary of Twentieth-century philosophers / 
HG1/03/Blac                   1137395   BH   BH.G    502161904  1676930   A companion to the philosophy of science /                  
HG1/03/Blac                   1025238   BH   BH.G    502008434  1507158   A companion to cognitive science /                          
HG1/03/Blac                   1029776   BH   BH.G    502017428  1515889   A companion to the philosophy of science /                  
HG1/03/Blac                   953153    BH   BH.G    500953168  953168    A companion to the philosophy of language /                 
HG1/03/Blac                   683449    BH   BH.G    500683461  683461    A companion to aesthetics /                                 
HG1/03/Blac                   1177647   BH   BH.G    502211667  1733085   A companion to the philosophy of action /                   
HG1/03/Blac                   1177729   BH   BH.G    502211694  1733182   A companion to Kant /                                       
HG1/03/Blac                   1157918   BH   BH.G    502185118  1705040   A companion to feminist philosophy /                        
HG1/03/Blac                   1157536   BH   BH.G    502185084  1704297   A companion to applied ethics /                             
HG1/03/Blac                   1157911   BH   BH.G    502185108  1704988   A companion to pragmatism /                                 
HG1/03/Blac                   1157914   BH   BH.G    502185098  1705018   A companion to bioethics /                                  
HG1/03/Blac                   1129705   BH   BH.G    102150203  1665455   The Blackwell companion to consciousness /                  
